Student_ID,Gender,Age,Education_Level,Employment_Status,City,Device_Type,Internet_Connection_Quality,Course_ID,Course_Name,Category,Course_Level,Course_Duration_Days,Instructor_Rating,Login_Frequency,Average_Session_Duration_Min,Video_Completion_Rate,Discussion_Participation,Time_Spent_Hours,Days_Since_Last_Login,Notifications_Checked,Peer_Interaction_Score,Assignments_Submitted,Assignments_Missed,Quiz_Attempts,Quiz_Score_Avg,Project_Grade,Progress_Percentage,Rewatch_Count,Enrollment_Date,Payment_Mode,Fee_Paid,Discount_Used,Payment_Amount,App_Usage_Percentage,Reminder_Emails_Clicked,Support_Tickets_Raised,Satisfaction_Rating,Completed,Assignment_Submission_Rate
STU100000,Male,19,Diploma,Student,Indore,Laptop,Medium,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,3,30.0,55.0,2,0.5,1,6,4.3,8,1,5,80.9,71.2,70.8,0,2024-01-06,Scholarship,0,0,1740.0,49.0,3,4,3.5,1,88.89
STU100001,Female,17,Bachelor,Student,Delhi,Laptop,Low,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,4,37.0,84.1,2,0.9,3,5,7.8,4,6,3,78.4,42.5,55.6,2,,Credit Card,1,0,6147.0,86.0,0,0,4.5,0,40.0
STU100002,Female,34,Master,Student,Chennai,Mobile,Medium,C101,Python Basics,Programming,Beginner,45,4.6,5,9.0,75.6,3,0.5,19,5,6.7,8,2,3,100.0,87.9,78.8,2,,NetBanking,1,0,4280.0,85.0,1,0,5.0,1,80.0
STU100003,Female,29,Diploma,Employed,Surat,Mobile,High,C105,UI/UX Design Fundamentals,Design,Beginner,40,4.4,2,27.0,63.3,1,7.4,19,9,6.4,0,10,4,59.1,51.4,24.7,4,,UPI,1,0,3812.0,42.0,2,3,3.8,1,0.0
STU100004,Female,19,Master,Self-Employed,Lucknow,Laptop,Medium,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,2,36.0,86.4,1,0.5,4,7,7.5,5,5,8,84.8,93.0,64.9,4,,Debit Card,1,1,5486.0,91.0,3,0,4.0,1,50.0
STU100005,Female,21,Bachelor,Student,Jaipur,Mobile,Medium,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,7,30.0,85.9,1,11.8,4,9,6.2,7,3,4,99.6,65.6,75.3,5,,UPI,1,0,4526.0,74.0,5,2,4.5,1,70.0
STU100006,Male,22,Diploma,Employed,Chennai,Laptop,High,C103,Introduction to AI,Programming,Intermediate,75,4.5,5,43.0,94.5,5,0.5,0,6,7.2,3,7,5,74.4,80.4,55.1,1,,UPI,1,0,5682.0,83.0,2,0,4.8,1,30.0
STU100007,Male,23,Master,Employed,Hyderabad,Mobile,Low,C101,Python Basics,Programming,Beginner,45,4.6,8,12.0,79.2,1,0.5,1,6,5.4,7,3,3,76.3,72.9,73.4,3,2024-09-11,NetBanking,1,0,4590.0,68.0,0,0,5.0,1,70.0
STU100008,Male,17,Bachelor,Student,Nagpur,Tablet,High,C103,Introduction to AI,Programming,Intermediate,75,4.5,7,20.0,82.3,2,0.9,2,6,6.8,10,0,6,76.3,69.4,92.3,2,,Credit Card,1,1,5055.0,78.0,4,2,4.7,1,100.0
STU100009,Male,32,Bachelor,Student,Kolkata,Laptop,Medium,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,7,30.0,63.4,2,3.3,0,2,6.4,3,7,3,55.8,54.1,42.9,0,2024-07-11,UPI,1,1,2951.0,48.0,1,2,4.4,1,30.0
